College_ID,College_Name,University_Name,State,City,College_Type,Establishment_Year,NAAC_Grade,NIRF_Rank,Total_Students,Total_Faculty,Student_Faculty_Ratio,UG_Courses,PG_Courses,Placement_Percentage,Average_Package_LPA,Highest_Package_LPA,Internship_Percentage,Research_Publications,Annual_Fees_INR,Graduation_Rate,Academic_Year
CLG01667,National Institute of Technology Kurukshetra,Aligarh Muslim University,Puducherry,Puducherry,Government,1953,B,276.0,4946,212.0,23.33,"BA, B.Tech, BCA, BBA","M.Com, MBA, MCA, M.Pharm",67.4,11.65,18.77,61.6,46.0,87472.0,98.1,2022-23
CLG00464,DAV College of Engineering and Technology,Calcutta University,Assam,Dibrugarh,Autonomous,2012,B++,292.0,4168,481.0,8.67,BBA,"MCA, MBA, MA",100.0,10.83,16.13,65.6,2.0,32888.0,73.4,2024-25
CLG01341,National Institute of Technology Srinagar,Savitribai Phule Pune University,Uttar Pradesh,Kanpur,Government,1978,A,299.0,3198,185.0,17.29,BA,"LLM, MA, M.Pharm",65.8,11.1,24.43,47.4,67.0,52585.0,96.3,2023-24
CLG00718,Dr. Ambedkar College of Engineering and Technology,Andhra University,Chhattisgarh,Bhilai,Government,1985,B,261.0,2447,103.0,23.76,"B.Com, BBA, LLB",Not Available,39.1,4.1,12.56,51.4,52.0,84351.0,84.0,2022-23
CLG01191,Amrita Institute of Higher Education,Guwahati University,Chandigarh,Chandigarh,Government,1963,C,385.0,2925,200.0,14.62,"BCA, B.Tech","M.Sc, MBA",53.4,6.76,12.26,52.0,36.0,58976.0,83.4,2024-25
CLG01115,Ramaiah College of Commerce and Economics,Dr. APJ Abdul Kalam Technical University,Punjab,Chandigarh,Private,2011,B++,46.0,3555,186.0,19.11,"BCA, B.Com, B.Tech, LLB","LLM, M.Sc, M.Arch, MCA",53.7,8.05,10.64,78.2,78.0,465771.0,80.3,2023-24
CLG00559,Sardar Patel Government Polytechnic College,Visvesvaraya Technological University,Puducherry,Puducherry,Private,2014,B+,14.0,4626,239.0,19.36,"BA, LLB, B.Arch, B.Pharm",Not Available,81.8,10.79,18.39,81.4,2.0,292388.0,75.2,2022-23
CLG00279,Amrita College of Engineering and Technology,Amity University,Maharashtra,Nashik,Government,1957,Not Accredited,169.0,5769,414.0,13.93,"B.Arch, B.Sc, LLB, B.Pharm","M.Tech, M.Arch, LLM, M.Com",95.1,8.78,16.89,93.2,33.0,102101.0,88.4,2024-25
CLG01444,Vivekananda Medical College,Guwahati University,Maharashtra,Pune,Private,1968,B+,7.0,4626,458.0,10.1,"BCA, B.Tech",Not Available,36.0,10.2,22.83,81.7,5.0,226334.0,85.3,2024-25
CLG01318,Vellore Medical College,Gujarat Technological University,Punjab,Amritsar,Private,1952,B++,430.0,4207,316.0,13.31,BA,Not Available,87.3,6.03,12.08,73.9,1.0,71133.0,77.1,2024-25
CLG01034,National Institute of Technology Allahabad,Rajasthan Technical University,Andhra Pradesh,Visakhapatnam,Private,1962,A+,375.0,5729,267.0,21.46,"B.Tech, B.Arch, B.Pharm, BCA, LLB",Not Available,50.0,12.34,15.93,78.6,6.0,295470.0,79.2,2024-25
CLG00264,National Institute of Technology Calicut,Bangalore University,Himachal Pradesh,Solan,Private,1984,B,249.0,2570,229.0,11.22,B.Com,Not Available,72.8,10.01,14.39,37.4,32.0,226913.0,97.4,2024-25
CLG00841,Bishop Cotton Institute of Management and Research,Sharda University,Madhya Pradesh,Indore,Private,1953,A,187.0,4530,212.0,21.37,"B.Pharm, LLB","MA, M.Arch, LLM",78.0,8.41,15.04,75.8,0.0,222535.0,74.5,2022-23
CLG00900,Indian Institute of Technology Indore,SRM Institute of Science and Technology,Punjab,Patiala,Government,1982,Not Accredited,354.0,1816,87.0,20.87,"B.Com, B.Arch, BCA",Not Available,70.9,4.11,8.23,96.8,18.0,73751.0,66.7,2023-24
CLG01646,Kirori Mal Institute of Higher Education,Banaras Hindu University,Assam,Dibrugarh,Private,2009,A++,330.0,2967,243.0,12.21,B.Tech,"M.Pharm, M.Tech, M.Arch",67.6,7.47,16.19,36.2,20.0,84521.0,74.6,2022-23
CLG00526,Bishop Cotton Institute of Technology and Science,Sharda University,Odisha,Rourkela,Private,2015,Not Accredited,82.0,4207,272.0,15.47,"B.Arch, LLB, BA, BBA, B.Com",Not Available,63.4,6.75,14.43,89.6,3.0,348268.0,63.2,2022-23
CLG00733,Ashoka School of Business Management,Mahatma Gandhi University,Bihar,Muzaffarpur,Deemed,1968,A++,122.0,4113,168.0,24.48,"B.Pharm, LLB, BA, BBA, BCA",M.Arch,82.0,4.46,10.04,76.0,20.0,141321.0,53.6,2022-23
CLG00373,Hansraj Institute of Technology and Science,Sharda University,Tamil Nadu,Chandigarh,Deemed,2013,A,363.0,3567,169.0,21.11,"BBA, B.Arch, B.Com, BA, LLB","LLM, MBA, M.Sc",70.9,6.18,16.78,54.3,39.0,336963.0,59.0,2023-24
CLG00869,Presidency Institute of Applied Sciences,Visvesvaraya Technological University,Gujarat,Rajkot,Government,1950,B++,79.0,4686,518.0,9.05,B.Pharm,M.Arch,69.6,3.82,32.8125,49.9,46.0,56592.0,70.3,2022-23
CLG00359,Vellore Institute of Technology and Science,Ranchi University,Puducherry,Puducherry,Deemed,1986,A+,370.0,4100,167.0,24.55,"B.Arch, B.Com, LLB, BBA",MA,72.4,7.28,10.48,31.3,4.0,118077.0,66.6,2023-24
CLG00059,Vivekananda Government Polytechnic College,University of Mumbai,Andhra Pradesh,Tirupati,Government,2008,B++,484.0,3889,188.0,20.69,"B.Arch, B.Com, BA, BCA, B.Tech","M.Arch, MBA, M.Tech, MCA",53.7,9.55,11.79,52.0,12.0,61421.0,72.8,2023-24
CLG01720,"Netaji Subhas College of Arts, Science and Commerce",Osmania University,Andhra Pradesh,Vijayawada,Government,1967,B,295.0,3874,155.0,24.99,"B.Arch, B.Tech","M.Arch, M.Com, MCA, MA",86.6,5.32,24.73,82.5,27.0,74063.0,76.4,2023-24
CLG00299,National Institute of Technology Bhopal,VTU,Bihar,Muzaffarpur,Private,1954,A+,151.0,3527,261.0,13.51,"B.Sc, B.Arch, B.Pharm, BBA",Not Available,44.3,10.06,17.32,48.3,51.0,238323.0,72.4,2023-24
CLG01637,Fergusson Institute of Information Technology,Rajasthan Technical University,Gujarat,Rajkot,Government,1959,A,234.0,4752,396.0,12.0,BBA,M.Sc,85.3,13.68,31.1,50.7,27.0,87501.0,72.2,2022-23
CLG00784,Amrita Institute of Engineering and Technology,Guwahati University,Gujarat,Chandigarh,Deemed,2008,A,298.0,4520,443.0,10.2,B.Sc,Not Available,74.9,10.49,14.95,78.3,49.0,283041.0,89.2,2023-24
CLG00411,St. Stephen's National Institute of Technology,Visvesvaraya Technological University,Kerala,Thiruvananthapuram,Private,2012,A,29.0,5220,307.0,17.0,"BCA, B.Sc, B.Com, LLB","M.Sc, M.Pharm, MBA",72.6,6.0,10.58,61.1,10.0,249295.0,100.0,2024-25
CLG00439,Christ Institute of Engineering and Technology,Visvesvaraya Technological University,Goa,Panaji,Government,2000,A+,140.0,3019,170.0,17.76,"B.Com, BA, BCA, B.Arch","M.Com, M.Sc, MBA, M.Pharm",47.1,7.22,32.8125,62.3,64.0,69230.0,66.9,2024-25
CLG00541,Indian Institute of Technology Kanpur,University of Delhi,Jharkhand,Jamshedpur,Government,1973,B++,69.0,4834,233.0,20.75,"B.Pharm, B.Arch, BCA",Not Available,98.6,9.59,17.47,85.7,20.0,30192.0,81.6,2023-24
CLG01586,Symbiosis Institute of Information Technology,Jadavpur University,Haryana,Hisar,Government,1993,C,81.0,3860,237.0,16.29,"BCA, BBA, B.Arch, BA",Not Available,64.5,5.28,18.86,72.7,16.0,53270.0,70.2,2022-23
CLG00956,National Institute of Technology Surathkal,Anna University,Jharkhand,Ranchi,Deemed,1996,Not Accredited,177.0,2871,141.0,20.36,B.Tech,MCA,46.0,5.79,15.17,64.0,76.0,175420.0,96.4,2022-23
CLG01079,Jain Institute of Higher Education,Chandigarh University,Andhra Pradesh,Vijayawada,Government,1997,B+,366.0,2262,278.0,8.14,"BCA, B.Sc, B.Pharm","M.Arch, MA, M.Pharm",74.1,11.38,18.22,41.7,86.0,140439.0,81.1,2023-24
CLG00466,Ramaiah Institute of Technology and Science,Visvesvaraya Technological University,Madhya Pradesh,Bhopal,Autonomous,1959,B,256.0,4041,192.0,21.05,"B.Arch, B.Pharm, B.Sc","M.Tech, M.Pharm, LLM, M.Arch",77.7,11.34,16.34,56.9,14.0,127291.0,87.0,2024-25
CLG01529,Lady Shri Ram School of Business Management,Savitribai Phule Pune University,Telangana,Hyderabad,Deemed,1987,A++,223.0,2910,170.0,17.12,B.Tech,"MCA, MBA, LLM",70.3,11.53,18.8,22.6,18.0,134648.0,85.7,2023-24
CLG01313,Sri Venkateswara Institute of Engineering and Technology,Manipal Academy of Higher Education,Tamil Nadu,Coimbatore,Government,1982,C,131.0,761,83.0,9.17,"B.Pharm, BBA, B.Tech, B.Sc, BCA","LLM, M.Arch, M.Tech",78.2,10.03,11.9,64.2,15.0,10000.0,60.9,2024-25
CLG00928,Indian Institute of Technology Bhubaneswar,University of Delhi,Kerala,Kozhikode,Government,1980,B++,354.0,4360,346.0,12.6,BCA,"M.Arch, MCA, M.Pharm",74.4,7.1,28.44,78.3,37.0,102445.0,69.5,2023-24
CLG01607,St. Xavier's College of Engineering and Technology,Osmania University,Madhya Pradesh,Gwalior,Private,2011,B++,145.0,7575,330.0,22.95,"B.Arch, B.Com, B.Sc, B.Pharm",M.Tech,35.4,8.12,18.62,89.9,15.0,296639.0,80.0,2022-23
CLG00838,Ramaiah School of Business Management,Guwahati University,West Bengal,Durgapur,Private,1960,B,413.0,7736,332.0,23.3,"BCA, B.Pharm, B.Com, BBA, LLB","MCA, M.Com",63.6,5.97,15.47,38.6,19.0,226124.0,63.0,2024-25
CLG00603,St. Stephen's School of Business Management,JNTU Hyderabad,Puducherry,Puducherry,Private,2017,C,96.0,5567,588.0,9.47,B.Sc,M.Tech,57.9,7.34,11.29,65.1,7.0,102145.0,96.6,2023-24
CLG00325,"Maharaja College of Arts, Science and Commerce",Dr. APJ Abdul Kalam Technical University,Puducherry,Puducherry,Private,1999,B++,72.0,5238,307.0,17.06,"B.Tech, BBA, B.Arch, BA","LLM, M.Tech",63.9,8.81,24.77,59.2,15.0,171624.0,93.9,2022-23
CLG00670,Maharaja Institute of Pharmacy,Lovely Professional University,Tamil Nadu,Coimbatore,Autonomous,2018,B,443.0,2608,133.0,19.61,"B.Tech, BCA","MBA, MA, LLM, M.Arch",58.9,5.02,16.99,60.2,47.0,193339.0,85.4,2024-25
CLG01768,Amrita Institute of Management Studies,Aligarh Muslim University,Himachal Pradesh,Mandi,Private,2001,Not Accredited,375.0,3871,188.0,20.59,BBA,"MBA, LLM, M.Tech, MCA",62.5,9.57,22.72,87.9,14.0,215513.0,87.9,2023-24
CLG00829,Hindu College of Commerce and Economics,Anna University,Assam,Silchar,Autonomous,2000,A+,22.0,3827,239.0,16.01,"BA, BCA","M.Pharm, MA",55.2,7.4,11.34,56.0,22.0,52975.0,76.2,2023-24
CLG01410,Indian Institute of Technology Kharagpur,Jadavpur University,Rajasthan,Kota,Private,1968,B,96.0,2043,131.0,15.6,"B.Tech, BBA","M.Pharm, M.Arch, LLM",57.6,11.84,27.86,66.4,29.0,367479.0,78.3,2024-25
CLG01085,National Institute of Technology Raipur,Guwahati University,Punjab,Patiala,Autonomous,2017,B,247.0,5294,471.0,11.24,"BCA, B.Pharm, B.Tech, BBA, BA",Not Available,97.3,4.21,19.26,65.4,16.0,114536.0,88.1,2024-25
CLG01462,National Institute of Technology Surathkal,Jawaharlal Nehru University,Uttar Pradesh,Noida,Private,1981,B++,185.0,3449,392.0,8.8,"LLB, B.Com",M.Sc,67.9,8.51,20.33,71.5,4.0,313535.0,75.2,2022-23
CLG00201,National Institute of Technology Durgapur,University of Delhi,Punjab,Ludhiana,Government,1950,B+,125.0,4233,357.0,11.86,"BBA, B.Com, B.Tech","MBA, M.Com, M.Tech, M.Arch",37.3,5.74,22.67,31.8,34.0,27271.0,75.1,2023-24
CLG01178,Hansraj Government Polytechnic College,Bangalore University,Jammu And Kashmir,Jammu,Autonomous,1972,B,496.0,3435,253.0,13.58,"B.Tech, BBA, BCA, BA, LLB",Not Available,20.0,13.52,28.17,52.7,23.0,94784.0,67.3,2023-24
CLG01636,Indian Institute of Technology Jodhpur,JNTU Hyderabad,Madhya Pradesh,Bhopal,Private,2010,B++,163.0,4205,190.0,22.13,"BBA, LLB, B.Sc",Not Available,64.7,13.75,19.13,66.4,36.0,181365.0,77.0,2022-23
CLG01332,Netaji Subhas Government Polytechnic College,Manipal Academy of Higher Education,Himachal Pradesh,Solan,Deemed,2018,B+,378.0,2894,335.0,8.64,"B.Pharm, LLB, BBA, B.Tech",MA,85.4,6.44,13.54,63.6,0.0,171344.0,66.8,2024-25
CLG01674,National Institute of Technology Jamshedpur,University of Delhi,Delhi,Delhi,Government,1992,B+,49.0,1161,85.0,13.66,B.Pharm,M.Arch,49.6,6.78,20.95,66.1,5.0,101267.0,75.1,2024-25
CLG00834,Bhavan's Institute of Management and Research,Osmania University,Uttarakhand,Roorkee,Private,2015,B+,18.0,3086,129.0,23.92,"B.Sc, BCA, B.Com, LLB","M.Com, M.Tech, M.Pharm, M.Sc",63.5,7.32,12.93,96.9,22.0,396521.0,78.6,2024-25
CLG00364,Lady Shri Ram Institute of Pharmacy,Amity University,Gujarat,Vadodara,Government,2024,B++,71.0,5793,704.0,8.23,"BBA, BCA, B.Arch, BA, B.Pharm",M.Sc,72.4,5.97,8.94,54.4,1.0,72775.0,85.0,2022-23
CLG01597,Indian Institute of Technology Roorkee,University of Delhi,Odisha,Bhubaneswar,Government,1960,B,89.0,867,51.0,17.0,"BCA, B.Sc, B.Pharm",M.Com,64.9,8.18,11.15,79.0,17.0,64683.0,88.2,2024-25
CLG00432,National Institute of Technology Allahabad,Calcutta University,Odisha,Rourkela,Deemed,1999,Not Accredited,135.0,1970,218.0,9.04,"LLB, B.Arch, B.Tech, BA",Not Available,73.7,7.48,23.12,80.0,29.0,222341.0,75.2,2024-25
CLG00996,Vivekananda College of Engineering and Technology,Jadavpur University,Bihar,Gaya,Autonomous,2000,B,122.0,3996,207.0,19.3,"B.Pharm, B.Com",Not Available,83.5,9.44,15.54,44.9,22.0,128411.0,94.1,2024-25
CLG01583,National Institute of Technology Patna,Mahatma Gandhi University,Chandigarh,Chandigarh,Government,2007,B++,130.0,4415,443.0,9.97,"B.Pharm, B.Arch, BA, LLB, BCA",Not Available,99.5,9.03,16.7,43.2,69.0,85989.0,95.5,2023-24
CLG00282,Kirori Mal School of Business Management,Calcutta University,Karnataka,Mangaluru,Deemed,1991,B,292.0,3523,369.0,9.55,"B.Arch, BCA, B.Com, B.Sc","M.Tech, MBA, M.Sc, M.Com",86.2,5.28,24.27,51.8,35.0,268362.0,81.2,2024-25
CLG00207,Indian Institute of Technology Bombay,Aligarh Muslim University,Haryana,Kurukshetra,Private,1964,A+,386.0,3247,140.0,23.19,B.Com,MCA,61.5,3.55,15.87,100.0,20.0,158061.0,83.5,2023-24
CLG01127,Jain Government Polytechnic College,Manipal Academy of Higher Education,Haryana,Hisar,Autonomous,1967,A,247.0,2315,109.0,21.24,"B.Com, B.Sc","MA, LLM",83.3,6.8,20.17,76.1,27.0,89576.0,94.4,2024-25
CLG01433,DAV Institute of Technology and Science,Jawaharlal Nehru University,Himachal Pradesh,Mandi,Deemed,1980,A,213.0,2940,131.0,22.44,"B.Arch, BA",Not Available,57.0,9.79,17.9,76.9,48.0,277210.0,92.8,2022-23
CLG00801,DAV School of Business Management,VIT University,Puducherry,Puducherry,Private,1963,A,327.0,3764,239.0,15.75,"B.Tech, B.Sc",Not Available,78.1,7.29,11.65,85.3,16.0,209662.0,100.0,2024-25
CLG01168,Vellore Institute of Higher Education,Bangalore University,Jharkhand,Ranchi,Private,2022,A+,221.0,5268,212.0,24.85,B.Arch,"MA, M.Arch, MBA, MCA",84.2,6.72,14.65,69.2,34.0,209650.0,98.0,2024-25
CLG01581,Presidency Institute of Technology and Science,Jadavpur University,Jharkhand,Jamshedpur,Private,2024,B,287.0,5445,305.0,17.85,"BCA, B.Pharm",Not Available,55.7,6.22,13.86,65.0,37.0,332460.0,88.4,2023-24
CLG01759,"Symbiosis College of Arts, Science and Commerce",Kurukshetra University,Goa,Margao,Autonomous,1959,B++,193.0,3125,312.0,10.02,"B.Arch, B.Tech, LLB","M.Sc, LLM, MBA",49.7,5.87,19.18,66.7,47.0,40683.0,83.5,2024-25
CLG00354,National Institute of Technology Surathkal,Punjab Technical University,Goa,Margao,Government,1988,C,352.0,1594,68.0,23.44,"B.Com, BA","M.Com, M.Pharm",100.0,7.44,21.03,34.1,49.0,107695.0,86.9,2023-24
CLG01687,National Institute of Technology Durgapur,Kurukshetra University,Uttarakhand,Haldwani,Private,2022,B,234.0,4956,227.0,21.83,"B.Arch, BCA, BBA, B.Com, BA",Not Available,60.8,5.59,19.39,44.1,47.0,150328.0,63.0,2023-24
CLG01090,Guru Nanak National Institute of Technology,Punjab Technical University,Rajasthan,Durgapur,Private,1985,B++,171.0,3023,272.0,11.11,"B.Com, BA, B.Sc",MA,72.7,5.49,16.65,60.4,71.0,311585.0,74.8,2022-23
CLG01797,Sri Venkateswara National Institute of Technology,Sharda University,Assam,Dibrugarh,Private,2014,A++,78.0,3726,180.0,20.7,B.Com,"M.Arch, MBA, MA, M.Pharm",73.3,9.54,13.06,68.7,29.0,351879.0,100.0,2024-25
CLG01302,Hansraj College of Engineering and Technology,Manipal Academy of Higher Education,West Bengal,Durgapur,Private,1988,A+,145.0,5008,530.0,9.45,B.Pharm,"M.Tech, M.Com",73.4,6.25,11.92,87.2,41.0,310372.0,78.3,2023-24
CLG01197,Manipal Government Engineering College,Manipal Academy of Higher Education,Maharashtra,Mumbai,Deemed,1988,C,196.0,2751,297.0,9.26,"B.Tech, BA, B.Sc, B.Com",Not Available,57.1,10.07,22.13,76.6,20.0,49078.0,85.8,2024-25
CLG00238,Indian Institute of Technology Kharagpur,Punjab Technical University,Uttar Pradesh,Agra,Government,2023,A+,83.0,4008,212.0,18.91,"LLB, B.Arch","M.Tech, MBA, LLM, M.Sc",56.4,4.12,8.96,91.4,42.0,10000.0,92.1,2023-24
CLG00420,Netaji Subhas Medical College,Sharda University,Chandigarh,Chandigarh,Autonomous,1960,A++,169.0,4068,278.0,14.63,"LLB, BBA","LLM, MBA, M.Pharm, M.Com",92.1,5.96,7.33,75.8,6.0,141409.0,65.5,2024-25
CLG00263,Rajiv Gandhi Law College,Calcutta University,West Bengal,Durgapur,Deemed,1999,C,110.0,4249,340.0,12.5,"BA, BBA, B.Com, BCA","M.Arch, MA",78.5,7.72,20.0,82.4,22.0,270983.0,77.8,2022-23
CLG00141,Ram Lal Anand Institute of Management Studies,VIT University,Delhi,Delhi,Government,2003,Not Accredited,41.0,4195,420.0,9.99,"BCA, BBA",LLM,62.1,11.58,20.73,71.4,10.0,54751.0,70.9,2023-24
CLG00038,Hindu Institute of Higher Education,Aligarh Muslim University,Tamil Nadu,Coimbatore,Government,1996,A,247.0,4705,234.0,20.11,"BBA, B.Tech","MBA, M.Com, MCA, MA",81.0,12.39,21.4,54.9,51.0,45868.0,82.8,2022-23
CLG01753,DAV College of Engineering and Technology,Sharda University,Kerala,Kozhikode,Private,1967,Not Accredited,124.0,2596,221.0,11.75,"B.Tech, LLB, BA, B.Pharm","LLM, M.Tech",94.8,7.6,13.32,100.0,24.0,141430.0,80.7,2022-23
CLG00387,Lady Shri Ram Institute of Pharmacy,Chandigarh University,Puducherry,Puducherry,Autonomous,1977,A+,87.0,3613,310.0,11.65,"B.Pharm, B.Arch, B.Com",Not Available,94.1,5.74,11.8,72.4,14.0,95153.0,77.8,2023-24
CLG00624,Ashoka Polytechnic Institute,Bharathiar University,Andhra Pradesh,Tirupati,Deemed,1966,Not Accredited,123.0,1612,76.0,21.21,"B.Com, BBA, B.Arch, LLB",Not Available,70.3,10.75,15.9,53.0,68.0,147429.0,71.6,2022-23
CLG01263,Bhavan's Law College,Guwahati University,Uttarakhand,Haldwani,Autonomous,2002,A,35.0,2428,238.0,10.2,"BBA, B.Pharm, B.Arch, BCA, B.Sc",Not Available,63.5,15.64,21.75,55.2,49.0,133440.0,67.7,2023-24
CLG01777,Rajiv Gandhi Institute of Applied Sciences,Sharda University,Haryana,Kurukshetra,Government,2015,A+,50.0,4731,303.0,15.61,"BBA, B.Pharm, BA, LLB, B.Com",Not Available,100.0,3.94,16.14,38.0,34.0,67597.0,80.0,2022-23
CLG00944,Dr. Ambedkar Law College,Calcutta University,Puducherry,Puducherry,Private,2020,C,365.0,2709,175.0,15.48,B.Pharm,"MA, LLM, M.Pharm",67.0,10.11,19.42,67.7,17.0,297139.0,95.3,2024-25
CLG00398,Hindu Medical College,Utkal University,Rajasthan,Jodhpur,Private,1983,B+,221.0,2813,121.0,23.25,"B.Pharm, B.Com, BBA","M.Tech, MA, M.Sc",67.1,6.5,9.35,50.7,3.0,302127.0,81.8,2022-23
CLG01086,Ramaiah Institute of Engineering and Technology,Lovely Professional University,Chhattisgarh,Bhilai,Government,1991,B++,111.0,2238,237.0,9.44,"LLB, BCA",Not Available,33.9,16.96,26.51,67.8,12.0,99960.0,95.3,2022-23
CLG00128,National Institute of Technology Rourkela,Guwahati University,Haryana,Gurugram,Private,2011,B,6.0,4088,212.0,19.28,"B.Arch, B.Tech, B.Pharm, BBA, B.Com","M.Tech, M.Arch",66.6,9.25,11.44,63.0,11.0,267989.0,96.7,2022-23
CLG01426,Bhavan's College of Commerce and Economics,Calcutta University,Telangana,Warangal,Deemed,1952,A++,363.0,3823,268.0,14.26,"BBA, B.Com","MCA, MA, M.Arch",50.6,7.54,12.92,68.1,2.0,224452.0,88.4,2023-24
CLG01287,National Institute of Technology Surathkal,JNTU Hyderabad,Chandigarh,Chandigarh,Deemed,2022,B++,303.0,4678,328.0,14.26,B.Com,Not Available,91.1,6.13,20.41,95.0,55.0,267464.0,69.2,2022-23
CLG01795,Indian Institute of Technology Gandhinagar,Visvesvaraya Technological University,Andhra Pradesh,Tirupati,Government,2005,Not Accredited,425.0,2344,178.0,13.17,"BA, LLB, BBA, B.Pharm",Not Available,63.7,11.03,17.32,40.2,4.0,103336.0,98.9,2024-25
CLG01167,Ram Lal Anand Institute of Management and Research,Gujarat Technological University,Telangana,Warangal,Private,1957,Not Accredited,254.0,4650,274.0,16.97,"B.Pharm, BBA, B.Tech",M.Pharm,81.2,8.37,16.9,68.7,6.0,137559.0,83.9,2024-25
CLG00314,Ramaiah Institute of Higher Education,Visvesvaraya Technological University,Tamil Nadu,Trichy,Private,1962,C,88.0,1767,133.0,13.29,"B.Sc, LLB, BCA, BBA","MCA, M.Pharm, LLM",50.3,8.4,16.52,5.2,19.0,370599.0,89.3,2024-25
CLG00109,Fergusson Institute of Applied Sciences,Kurukshetra University,Telangana,Warangal,Autonomous,1984,A+,313.0,4434,215.0,20.62,"BA, B.Tech","MA, LLM, M.Tech, M.Arch",61.1,6.32,24.14,83.5,82.0,122981.0,72.2,2023-24
CLG00379,Indian Institute of Technology Delhi,Manipal Academy of Higher Education,Maharashtra,Nashik,Private,2004,B+,459.0,2959,195.0,15.17,B.Pharm,"M.Arch, LLM",54.0,7.32,8.87,88.9,68.0,272907.0,92.9,2023-24
CLG01703,Bishop Cotton Institute of Management and Research,Jadavpur University,Uttar Pradesh,Agra,Private,2008,Not Accredited,76.0,2168,125.0,17.34,"B.Arch, B.Tech",LLM,39.7,8.7,25.26,89.5,1.0,525602.0,77.9,2022-23
CLG00638,Hansraj Medical College,Osmania University,Himachal Pradesh,Shimla,Private,1996,B+,78.0,4306,193.0,22.31,"BA, BBA, B.Arch, B.Sc","M.Arch, MA",75.5,5.1,15.82,66.1,6.0,525602.0,62.0,2024-25
CLG00300,Indian Institute of Technology Indore,SRM Institute of Science and Technology,Assam,Dibrugarh,Private,1976,B+,53.0,6108,344.0,17.76,"B.Sc, B.Pharm, BCA, B.Arch, BBA","M.Arch, MCA",64.2,14.62,27.44,72.9,54.0,57232.0,65.8,2023-24
